,Unnamed: 0,Title,Opinion,Place,Gender,Age,Country,Date,Label
2097,2097,"""La mejor vista de la ciudad""","""El monumento al Pípila se encuentra en la parte alta de Guanajuato,se puede llegar caminando (muy cansado), en automóvil, transporte público o en un funicular, el cual cobra 18 pesos por persona y tarda máximo 1 minuto en subir o bajar, desde este sitio se tiene la mejor vista de la ciudad y es de donde se toman las más bonitas fotos ya que se ve desde lo alto la catedral, el Teatro Juárez, la Universidad de Guanajuato, y todo el colorido de sus casas, no se puede dejar de ir a este lugar.También encuentras en los alrededores lugares para comer a precios súper económicos.""",Monumento Pípila,Female,45,México,23/09/2014,1
1611,1611,"""Un bello jardín""","""Bastante bueno para tomar un pequeño descanso después de la caminata por la ciudad, con muchos restaurantes alrededor para elegir.""",Jardín de la Unión,Female,32,México,15/07/2014,1
3738,3738,"""Obligado si vas en pareja""","""La historia es muy romántica si vas en pareja, vale la pena pagar a un guía para que te cuenten la historia, no lo recomiendo en grupos grandes.""",Callejón del Beso,Male,38,México,31/07/2016,1
647,647,"""Nada especial""","""Si vas corto de tiempo, no te molestes en incluir este punto en tu recorrido. Lo que encuentras son playeras con el nombre de la cuidad, artesanías de barro y dulces (que igual los encuentras por toda la ciudad y en cada paseo).
Tuve ademas la ocurrencia de comer aquí y fue lo peor. La chica que me atendió tomaba la comida con las manos, después cobraba, se mordía las uñas y metió el dedo en el agua de fruta de otra persona para sacarle una basurita. Entiendo que era un mercado pero nunca había visto tantos hábitos sucios juntos.""",Mercado Hidalgo,Female,-1,México,05/10/2015,0
1498,1498,"""Una arquitectura impresionante""","""La arquitectura y decoración del lugar es impresionante, la explicación que dan sobre los salones para damas y caballeros me pareció muy interesante y se encuentra muy bien conservado.""",Teatro Juárez,Female,36,México,05/05/2014,1
2277,2277,"""Una gran panorámica""","""Una excelente vista de la ciudad. No hay mucho que hacer aquí excepto disfrutar de tomar fotos, la vista y el atardecer en Guanajuato.""",Monumento Pípila,Male,38,Honduras,25/09/2015,1
4105,4105,Tienes que ir a comprar al mercado Hidalgo.,"No dejes de visitar el mercado Hodalgo encontrarás variedad cosas que comprar y para regalo souvenirs, tienes que checar precios en todos los locales tienes que ir con tiempo y encontrarás buenos precios ya que varía.",Mercado Hidalgo,N/I,-1,Estados Unidos,2019,1
1502,1502,"""Lugar obligado a conocer""","""Lugar muy bonito, ameno, con buen ambiente, lleno de restaurantes, y en la noche mucha música y buen ambiente.""",Jardín de la Unión,Male,40,Estados Unidos,02/03/2015,1
2202,2202,"""Muy interesante""","""Es un teatro muy bonito e interesante, ¡con una historia fenomenal! Los guías que están adentro están realmente capacitados para lo que te platican. Muy recomendable, justo afuera en la plaza hay varios restaurantes muy buenos.""",Teatro Juárez,Female,46,Perú,08/09/2014,1
4324,4324,"""Buena museografía y servicios, entorno descuidado por el municipio""","""Por el tema, impacto y falta de autorización de los protagonistas para ser exhibidos, este museo es para un público específico; sí ésta es la elección del grupo, excelente servicio, buena museografía y servicio muy profesional.""",Museo de las Momias,Male,54,México,17/07/2016,1
2949,2949,"""Lugar obligado, pero hay que cuidarlo""","""El callejón era muy lindo, parada obligada en una visita a Gto, lamentablemente ahora las paredes se encuentran grafiteadas y en ciertos momentos (en especial la noche) es imposible pasar. Pero sin duda no puedes quedarte sin conocerlo.""",Callejón del Beso,Male,60,México,17/04/2013,1
291,291,"""Negocio""","""No me gusta que se promociona exageradamente este museo cuando hay otros más interesantes, deberían mostrar las momias desde un punto de vista científico y no de morbo.""",Museo de las Momias,Female,29,México,18/05/2013,0
2609,2609,"""La mejor vista de Guanajuato""","""Imperdible subir al mirador del Pípila. Se puede subir y bajar rápidamente por el funicular por un precio bajo como 50 pesos por persona. Al llegar se puede observar las mejores vistas y tomar fotografías maravillosas.""",Monumento Pípila,Male,45,El Salvador,06/11/2017,1
1237,1237,"""La mejor vista de Guanajuato""","""Impresionante escultura del Pípila, enorme y en un mirador donde se tiene la mejor vista de todo Guanajuato. Allí tambien hay muchos guías de turistas que te ofrecen tours a los alrededores por módicas tarifas.""",Monumento Pípila,Female,37,México,21/02/2018,1
1830,1830,"""Mucha cultura""","""Tienen que visitar este museo ya que es un icono de Guanajuato, por ser él oriundo de ese lugar, y por todo lo que aporta, sus pinturas excelentes, vale la pena visitarlo.""",Casa de Diego Rivera,Female,-1,México,24/11/2015,1
2358,2358,"""Un teatro muy bonito""","""Tiene una fachada muy brillante. Varias decoraciones de estilo romano. Sin embargo, es bien aburrido dentro del teatro.""",Teatro Juárez,Male,26,Guatemala,15/12/2016,1
1545,1545,"""Majestuoso lugar""","""Un lugar que brilla por si sólo por su arquitectura y sus terminados coloniales hacen una experiencia inolvidable.""",Teatro Juárez,Male,36,México,06/11/2016,1
2957,2957,"""¡Muy bonita para verla!""","""Es de lo más bonito de Guanajuato. Subiendo las escaleras tienes otra bonita vista. Está muy cerca del Teatro Juarez.""",Universidad de Guanajuato,Male,30,México,06/09/2016,1
3032,3032,"""Bonito y pintoresco""","""Es un lugar muy agradable para caminar o sentarte a comer algo de lo que venden por ahi (elotes, esquites, etc). No es muy grande pero hay varios lugares para comer y pasar un buen rato. El ambiente se complementa con los norteños o el mariachi. Eso si, en ciertas horas del dia esta lleno.""",Jardín de la Unión,Male,51,México,16/08/2016,1
2452,2452,"""Espectacular vista de la ciudad""","""Te ofrece la mejor vista de la ciudad de dia y de noche puedes sacar fotos espectaculares. Puedes subir y bajar por el Funicular el cual tomas a un lado del Teatro Juárez. Visita obligada si vas a Guanajuato.""",Monumento Pípila,Female,35,México,04/08/2016,1
263,263,"""LUGAR MUY TRANQUILO...en general San miguel es muuuuy tranquilo""","""No tiene nada en espcifico para visitar, podrian talvez agregar alguna fuente de sodas o un cafecito...pero si buscas relajarte...solo sientate y respira el aire fresco que sus arboles brindan.""",Jardín de la Unión,Female,32,México,15/08/2012,0
3318,3318,Esperaba más,"Es un lugar romántico pero esperaba u poco más, lo que si es 
que alrededor todo es muy lindo, seguro y súper amable.",Callejón del Beso,Female,-1,México,2019,1
1189,1189,"""Como viajar al pasado""","""El teatro esta muy bien conservado, es muy bello y los guías nos dieron una bonita explicación de las diferentes epocas que ha podido ver este monumento, es increíble imaginarse todo lo que ha pasado en su interior y exterior a través de los años. Visita obligada si van a Guanajuato.""",Teatro Juárez,Female,38,México,06/01/2015,1
4309,4309,"""¡Excelente vista!""","""Acudimos 2 veces durante la estancia en la ciudad. La primera subimos por el funicular y la segunda en un tour. 

Desde el mirador se ve gran parte de la ciudad (o al menos todo el centro). El mirador no tiene costo alguno, es entrada gratis. Sin embargo, puedes entrar al mini museo de ""El Pípila"", el cual esta en el mismo mirador, la entrada tiene un costo de menos de $20.00 pesos. 

El mirador cuenta con diversos puestos ambulantes de artesanías, recuerdos y comida. También, en la parte izquierda baja hay un bar, el cual tiene una terraza y puedes estar teniendo la vista del mirador mientras te tomas alguna bebida y botaneas algo. Lo considero visita obligatoria para que puedas apreciar toda la ciudad.""",Monumento Pípila,Male,40,México,09/09/2017,1
2346,2346,"""Excelente momento romántico""","""Dicen que si te das el beso con tu pareja en el callejón, tendrás 7 años de buena suerte. No sé que tan cierto será, pero lo que sí vale la pena es conocer este callejón que mide solo 70cm de ancho, y es muy bonito por sus balcones a los lados.""",Callejón del Beso,Male,34,México,09/12/2014,1
733,733,"""Nada del otro mundo""","""Lindo pero un invento turístico. Hay callejones preciosos en toda la ciudad muchos más lindos que este.""",Callejón del Beso,Female,31,Argentina,28/02/2013,0
56,56,"""Está bien como experiencia pero no regresaría""","""El recorrido de este museo de hace en aproximadamente 20 minutos, es interesante pero algo creepy. Considero que está bien como experiencia y para que no te cuenten, pero no regresaría.

A mitad del recorrido una mujer de la taquilla o administración interrumpió la explicación del guía de una manera muy grosera para preguntar si las personas que estaban tomando fotos habían pagado para hacerlo; mal manejo del museo para la resolución de este tema.""",Museo de las Momias,Female,20,México,22/12/2015,0
3331,3331,"""Cerrado""","""No pudimos entrar por remodelación pero se que es un museo de la universidad, por fuera es imponente, su construcción es hermosa, fue una lastima no poder entrar.""",Universidad de Guanajuato,Female,40,México,01/08/2016,1
2252,2252,"""Histórico lugar en el centro""","""Si visitas Guanajuato debes visitar la Alhóndiga, es una de las construcciones más importantes en la historia de la Independencia de México y todas las exhibiciones son muy interesantes.""",Alhóndiga,Male,49,México,13/06/2017,1
2067,2067,"""El mirador de la ciudad""","""Sin duda uno de los iconos de la ciudad, una vista espectacular donde puedes ver los principales edificios desde otra prespectiva y por su puesto la clásica y típica foto.""",Monumento Pípila,Female,30,México,16/08/2015,1
1702,1702,"""¡Definitivamente una joya de teatro!""","""Es un teatro que vale la pena entrar y oir la explicación aunque un poco larga y habla de toda nuestra historia. Recorrer su área de gradas, pasillos, etc. y asombrarse con su belleza.""",Teatro Juárez,Male,63,México,18/07/2017,1
680,680,"""¡Un beso es un beso!""","""Muy mal organizado el acceso, es hasta peligroso de la cantidad de gente empujando, pero igual hay que conocerlo y no dejar de perder la tradición de darse el beso en el tercer escalón para 15 años de buen amor.""",Callejón del Beso,Female,39,Panamá,08/01/2018,0
1235,1235,"""La mejor""","""Es perfecta y muy agradable, es imponente y llamativa, a sus alrededores podrás encontrar restaurantes se encuentra en una vía caminable, recomiendo recorrer toda la zona y visitarla por dentro es hermosa.""",Basilica Colegiata,Male,42,Chile,13/11/2017,1
203,203,"""La cercanía de las diferencias""","""El Callejón del Beso es un highpoint de Guanajuato: entre las estrechas callejuelas adoquinadas se encuentra este en particular, tan estrecho que los balcones de dos casas enfrentadas quedan a centímetros de distancia. Distancia inversamente proporcional a las clases sociales de los protagonistas de la leyenda: una rica y un pobre. El lugar es pintoresco y colorido, sólo que hay que aguantar a la multitud de parejitas y parejotas que ""esperan lugar"" para sacarse la foto del beso.""",Callejón del Beso,Male,37,Argentina,02/09/2014,0
2968,2968,"""Pintoresco pero repleto de gente""","""¡Había que hacer cola! Un montón de gente esperando para algo que vimos en la tele, algo bien simbólico pero que te lo ahorras dándole un beso a tu pareja cien metros antes. Si estás cerca, anda, pero sino ni vale la pena.""",Callejón del Beso,Male,67,Colombia,10/04/2016,1
3500,3500,"""Romántico""","""¡Sin duda un lugar que conocer! Es muy chiquito en la parte alta... solo cabe una persona.. y cuando yo fui (en la noche) había mucha gente por que las estudiantinas llevan gente... Así que si van y quieren tomar buena foto mejor vallan en la mañana :) Y en el 3er escalón antes de bajarse dan el beso... puedes subir a un balcón... es gratis... y venden recuerdos... :D""",Callejón del Beso,Female,19,México,12/01/2014,1
1292,1292,"""Gran vista""","""No vale la pena pagar por entrar a la estatua del Pípila. Basta con quedarse en el mirador, que tiene una vista espectacular, maravillosa (me quedo sin adjetivos). Se llega muy fácilmente en el teleférico que está atrás del Teatro Juárez. Ni de chiste pagar por el 'museo de leyendas' que está junto al mirador (es de risa, de pésima calidad y huele feo).""",Monumento Pípila,Male,44,México,18/08/2014,1
809,809,"""Arquitectura histórica""","""Es un lugar que se debe visitar para poder apreciar lo que ha aportado éste inmueble en el paso del tiempo.""",Teatro Juárez,Male,28,México,03/11/2014,1
1593,1593,"""Debes visitarlo""","""Si vas a Guanajuato es una visita obligada, te recomiendo la visita guiada, ya que te explican los detalles del museo, así como contestan tus dudas.""",Museo de las Momias,Male,53,México,10/10/2016,1
1752,1752,"""Beautiful Historic Center Landmark""","""Basilica of Our Lady of Guanajuato is a stunning historic landmark. Inside is so beautiful from floor to ceiling. This is a must see for visitors. Mass is 7pm daily for church attendance. You can see this landmark which is in the historic district from a far distance. From the Pipila monument it stands out so beautifully for pictures of it¨s grandure.""",Basilica Colegiata,Female,51,México,07/11/2012,1
4256,4256,"""Es único""","""Este lugar en unico en México.. lo único malo es que esta rodeado de mucha gente y es casi imposible poder pasar o tomarte foto... esta lleno de 'guias' que quieren contarte la historia del lugar...""",Callejón del Beso,Female,26,México,13/03/2017,1
682,682,"""Deja mucho que desear frente a su taller en San Angel , Cd. de México""","""La verdad esperaba mucho más de éste recinto. Al escuchar que tenía la mayor cantidad de obras de Diego Rivera, se me hizo imposible perder la visita. En realidad lo que ves es la casa y el mobiliario de la casa de sus padres , que es interesante pero nada más. De las obras expuestas, la mayoría son solamente bosquejos y alguna que otra obra bonita, pero solamente eso...""",Casa de Diego Rivera,Female,49,México,21/10/2015,0
3915,3915,"""Gran museo""","""Museo con la historia de la independencia de México, pero además de las salas y exposiciones el edificio es muy bello.""",Alhóndiga,Male,33,México,12/07/2016,1
2606,2606,"""Muy ilustrativo""","""Visitar esta casa/museo resultó muy gratificante, ya que posee excelente museografía y nos acerca mucho a la historia del Pintor mexicano. Además, es sede de otras excelentes exposiciones, las cuales, ¡¡también poseen gran calidad!! Para fines de perfeccionar la estadía, quizá habría de enriquecer un poco más el contenido de su tienda- boutique ya que es muy pequeña, considerando la dimensión del personaje. Aunque el encargado de esta área fue muy atento y conocedor del lugar y de Guanajuato en general, ya que nos proporcionó excelentes orientaciones. ¡¡Sin duda regresaré a este lugar!!""",Casa de Diego Rivera,Female,62,México,13/07/2015,1
3580,3580,"""Una joya arquitectónica""","""Después del Teatro de Bellas Artes en la Ciudad de México, el Teatro Juárez en Guanajuato es el segundo más bello y grandioso, no puedes dejar de visitarlo, en la esplanada se presentan: mimos, payasos, etc. dando espectáculos, que por cierto están muy buenos...""",Teatro Juárez,Male,57,México,18/02/2015,1
1260,1260,"""Interesante""","""El estado y conservación del lugar es genial, el concepto al rededor del lugar como institución y del mismo como referente histórico y arquitectónico es muy interesante. Es rápido de visitar y esta cerca de muchos otros atractivos.""",Universidad de Guanajuato,Male,26,Colombia,28/06/2016,1
113,113,"""Temática interesante/Museo incompleto""","""Fue muy decepcionante. La temática es súper interesante y es una lástima que no se invierta en la estructura del lugar. También hace falta más información sobre las momias, su descubrimiento, las condiciones del lugar donde originalmente se encontraba, el proceso de momificación natural, etc. Deberían invertir en mejorar este museo y hacerlo más informativo, que se pueda aprender sobre la descomposición del cuerpo humano y sobre la vida en la época en la que los difuntos vivieron, no sólo exponer cuerpos momificados para el morbo de la gente y ya. Y por favor, que le digan a los vendedores que se paran junto a la tienda del museo que no sean tan vulgares, por que cuando fui al baño y me vieron esperando afuera de las instalaciones dijeron cosas asquerosas sobre cómo serían mis genitales y de lo mucho que disfrutarían haciéndome no sé qué. ¡POR DIOS, qué estupidez y qué incómodo! Que los calmen o que de plano los quiten de ahí.""",Museo de las Momias,Female,34,Alemania,07/07/2015,0
3258,3258,"""Imponente""","""Buen ambiente...gran construcción y estilo...si bien no ofrece ningun servicio es una parada obligatoria en guanajuato la cual es una ciudad expectacular.""",Universidad de Guanajuato,Male,-1,México,09/04/2018,1
286,286,"""Si te das un beso""","""Este callejón tiene una leyenda muy curiosa, los habitantes de ambos lados de la calle se enamoraron y es obligado darse un beso en este lugar para que tu amor sea eterno.""",Callejón del Beso,Female,57,México,25/04/2014,0
1216,1216,"""Interesante""","""En particular me gusta visitar los mercados de cada lugar, suelen ser folclóricos y encuentras cosas muy interesantes. Cabe mencionar que es una buena opción para desayunar o comer, yo recomiendo las tortas de carnitas son una delicia.""",Mercado Hidalgo,Male,25,Argentina,20/11/2016,1
1268,1268,"""Una enormidad arquitectónica""","""Es un edificio bellísimo, con una escalera enorme (compadezco a los que la suben y bajan todos los días!), enclavado en una calle relativamente angosta para ese coloso. Otra vez, un barrio hermoso, para perderse caminando y encontrarse de golpe con la universidad. Una sorpresa más de esta ciudad increíble.""",Universidad de Guanajuato,Female,28,México,16/02/2015,1
1302,1302,"""Magnifíca""","""Una costrucción que solo podrías ver de otra manera en europa, no se la pierdan.""",Universidad de Guanajuato,Male,28,México,07/02/2012,1
12,12,"""Vista""","""No hay mucho que hacer ahí pero tiene la vista más hermosa de toda la ciudad como para las fotos del viaje :)""",Monumento Pípila,Female,16,México,03/11/2015,0
2215,2215,"""Símbolo de la historia de México""","""El monumento es impresionante y la vista del mirador también, algo muy interesante que el mirador se comunica por medio de escalones hasta el centro de Guanajuato, se ve perfectamente toda la ciudad, que bello lugar.""",Monumento Pípila,Male,49,México,09/01/2015,1
3441,3441,"""Es un lugar emblemático de Guanajuato""","""Nos gustó este lugar, sobre todo por el romanticismo que representa, es muy pequeño, pero bien vale la pena visitarlo.""",Callejón del Beso,Female,59,México,01/01/2014,1
322,322,"Bien, pero nada más","Es un lugar atractivo para visitar debido al concepto de ver cómo fueron momificados los cuerpos, la entrada es cara desde mi perspectiva sobretodo porque los guías todavía te piden que des cooperación, cuando debería estar incluido en el costo El museo vale la pena incluirlo en el itinerario a Guanajuato",Museo de las Momias,Male,-1,N/I,2020,0
805,805,"""Interesante""","""El museo de las momias esta muy bien porque al entrar empieza el recorrido con un guía empleado del museo que va narrando y explicando la historia de la existencia de las momias. Hay aire acondicionado adentro y se puede observar todo de manera ordenada.""",Museo de las Momias,Female,64,El Salvador,06/11/2017,1
