,Title,Opinion,Place,Gender,Age,Country,Date,Label
53,"""Es un buen concepto pero no cumple con los requisitos para la apreciación""","""El concepto es único y suena divertido pero esta muy descuidado, el precio esta dentro de lo regular, para mí gusto falta más infraestructura no cuenta con una atracción desde que se ingresa el lugar parece olvidado hace falta un poco más de vista y no hay donde sentarse. A los alrededores los puestos son carísimos a comparación de otros lugares en Guanajuato.""",Museo de las Momias,Female,25,México,13/09/2016,0
54,"""¡Momias!""","""El museo queda un poco alejado (hay que subir mucho) y al menos a mi me tocó esperar porque había mucha gente. La visita es con un guía que va explicando cómo fueron encontradas las momias. Es un buen lugar para ir pero no es lo mejor de Guanajuato.""",Museo de las Momias,Female,35,Argentina,30/12/2015,0
55,"""Podría mejorar""","""Hola pues nosotros fuimos en familia , mi esposo ya había ido varias veces pero mi niña y yo no. Pues para comprar los boletos 20 minutos, por fin entramos y no había nadie que explicara nada, así entramos nosotros por nuestra cuenta y pues le leíamos a mi niña la descripción de cada momia porque ella esta pequeña y no sabe leer aún. No se si así sea siempre pero me supongo que debe de haber un guía o algo. Pues tardamos mas haciendo fila pagando que lo que duramos adentro.""",Museo de las Momias,Female,36,México,03/12/2014,0
56,"""Está bien como experiencia pero no regresaría""","""El recorrido de este museo de hace en aproximadamente 20 minutos, es interesante pero algo creepy. Considero que está bien como experiencia y para que no te cuenten, pero no regresaría.

A mitad del recorrido una mujer de la taquilla o administración interrumpió la explicación del guía de una manera muy grosera para preguntar si las personas que estaban tomando fotos habían pagado para hacerlo; mal manejo del museo para la resolución de este tema.""",Museo de las Momias,Female,20,México,22/12/2015,0
57,"""ALGO SIN MUCHO QUE DECIR""","""Mi visita fue con familia, es solo un pequeño callejón, donde las parejas o solo se puede tomar una foto del recuerdo y eso es todo, hay muchas tiendas y negocios para pasarla bien , simplemente es un lugar histórico para Guanajuato y representativo.""",Callejón del Beso,Female,40,México,18/09/2016,0
58,"""Defraudado""","""Muy famosas las momias para lo que realmente son, forman parte de un bizarro atractivo perdido en el tiempo. El museo esta muy decaído y descuidado. Existen muchas cosas mas atractivas en Guanajuato, dejemos mejor a los muertos descansar en paz.""",Museo de las Momias,Male,43,México,04/05/2018,0
59,"""Impactante""","""El museo de las momias expone unos 100 cadáveres de principios del siglo XX, bien conservados debido al proceso de deshidratación natural que sufren en el panteón de Guanajuato. Impactan los cadáveres de niños y las fotos de sus madres con el cadáver en brazos.""",Museo de las Momias,Male,52,España,07/02/2016,0
60,"""Más bombos y platillos que nada…""","""El lugar mantiene terriblemente lleno de gente que busca visitar este 'ícono', sin embargo, no es mayor el atractivo. Es virtualmente imposible detallarlo con calma o tomar una buena foto: hay fila, las multitudes se apiñan, y, siempre habrá alguien besándose en el panorama...""",Callejón del Beso,Male,50,México,06/12/2015,0
61,"""Un pequeño museo""","""Este museo está establecido donde fuera la casa de Diego Rivera durante sus primeros 6 años. El lugar cuenta con una pequeña colección. La entrada cuesta 25 pesos. Para estudiantes y personas mayores 10 pesos. Vale la pena la visita pero no es nada que no debas dejar de ver.""",Casa de Diego Rivera,Male,40,México,24/01/2016,0
62,"""Típico""","""Lugar típico y muy entretenido. Tanto para hacer compras como para pasear y comer algo en los distintos puestecitos.""",Mercado Hidalgo,Female,29,España,19/02/2018,0
63,"""Pocas momias""","""Tenía idea de algo más aterrador pero no es así, no es como en las películas de antes, esta todo muy alusado pero faltan varias momias se ven pocas, el recorrido es corto pero al menos te quitas la espinita de conocer las mentadas momias.""",Museo de las Momias,Female,34,México,18/01/2013,0
64,"""Hermosa vista pero muy sucio""","""Me da pesar ver un sitio tan turístico y con una vista tan hermosa, pero con mucha basura en el piso.""",Monumento Pípila,Female,17,México,10/11/2017,0
65,Sufrí discriminacion,"Pésimo servicio de las personas que atienden los locales para
subir a los balcones, me trataron pésimo al decirles que quería 
tomarme una foto con mi pareja (mujer) a lo cual la persona se
negó a darnos información y mencionaba que solo era para 
hombre y mujer, nos trató mal. 
Que triste que estos negocios manejen poca o nula tolerancia
para grupos vulnerables.
Si visitas este lugar y eres gay, lesbiana, trans corres el riesgo
que te traten mal, que no respeten tus derecho y que además te 
insulten diciendo que si no habíamos entendido era nuestro 
problema, hablándonos con groserías y empujándonos",Callejón del Beso,Female,-1,México,2019,0
66,"""Algo de historia de Diego Rivera""","""Si tienes tiempo es una buena opción para visitar, aunque hay cosas más bellas en la ciudad. Si quieres conocer más de Diego Rivera, es mejor seguir su pista en Coyoacan, Ciudad de México.""",Casa de Diego Rivera,Male,31,México,07/11/2015,0
67,"""Más desilusionante que interesante""","""No sabía mayor cosa acerca de este 'museo' (si es que realmente puede llamarse así) y la verdad es que después de visitarlo pensé que no había añadido nada especial a mi estancia en Guanajuato; que pude haberlo omitido como si nada. Para comenzar, me sorprendí al enterarme de que ni siquiera son momias en el sentido clásico. O sea, no son cuerpos muy antiguos preservados por el hombre con fines científicos o espirituales específicos. Según se me dijo, son un conjunto de cuerpos relativamente recientes ""deshidratados"" como consecuencia de las condiciones naturales del terreno donde fueron enterrados. Tal vez para ciertos profesionales (químicos, geólogos, historiadores, médicos forenses, etc.) sean algo especial, pero para el público común podrían ser parecidos a algunas curiosidades que se presentan en circos o ferias para estimular la curiosidad morbosa.
 ¡Esto es lo que hubiera querido saber esto antes de visitar este 'museo'!""",Museo de las Momias,Male,68,Costa Rica,18/06/2015,0
68,"""Descuido""","""Muy descuidado muros mucha humedad exterior e interior, es muy bonita si la cuidaran más parece que a nadie le importa.""",Basilica Colegiata,Female,60,México,16/01/2013,0
69,"""A la sombra de los arboles""","""Importante punto de reunion social para muchas personas, musica de mariachi y banda se escucha en toda la plaza pero mas del lado del bar la luna.""",Jardín de la Unión,Male,33,México,31/07/2017,0
70,"""Le faltó""","""Un lugar al que hay que ir cuando se está en Guanajuato pero el recorrido es bastante rápido, existen muy pocas momias. Creo que les falta agregar más salones y momias.""",Museo de las Momias,Male,43,Argentina,01/08/2016,0
71,"""Visita obligatoria""","""Ir a Guanajuato es ir a conocer las momias, la exposición es buena, cobran 56 pesos, mas 21 si quieres tomar fotos, mas la propina del guía, mas el coraje de turistas corrientes que insisten en tomar fotos con flash frente al letrero que indica no hacerlo.""",Museo de las Momias,Male,50,México,22/02/2016,0
72,"""Imperdible""","""La leyenda, romántica y trágica, el lugar bello pero obvio: lleno de gente y niños y adultos queriéndote contar la leyenda por una propina. Difícil tomar una foto romántica.""",Callejón del Beso,Female,24,México,17/08/2015,0
73,"""Raro""","""A mí en lo personal eso de ver gente muerta, no me hizo mucha ilusión pero reconozco que la historia sobre las momificaciones naturales me llamó la atención.""",Museo de las Momias,Female,42,Venezuela,23/04/2014,0
74,"""Descuidado""","""No se encuentra en las condiciones que se promociona este lugar, esta descuidado huele a orines y los ambulantes que ahí se encuentran sólo te están vigilando, da la impresión de que te van a asaltar.""",Callejón del Beso,Female,28,México,06/02/2017,0
75,"""Esta bien para conocer""","""Esta bien para conocer nada más... es sencillo y no hay mucho que ver. Esta bien para la foto emblemática de Guanajuato. Pero los vendedores son muy encimosos…""",Callejón del Beso,Female,24,México,13/10/2016,0
76,"""Tradición y Leyenda""","""Más allá de la arquitectura, que es muy bella (especialmente para quienes provenimos de ciudades ""modernas"" en el norte del país, vale la pena conocer la tradición y la cultura escondida en este espacio.""",Callejón del Beso,Male,66,Perú,05/09/2014,0
77,"""Imperdible""","""Un punto obligado en la ciudad de Guanajuato, aunque de verdad no hay mucho qué hacer. Es el lugar ideal para visitar en pareja, pero que toda la familia puede conocer.""",Callejón del Beso,Male,30,México,15/11/2016,0
78,Saturado encuentro,"Lastima que no cuiden todo esto, al ingresar al callejón, ya no 
se tiene ese encuentro con una historia romántica, ahora te 
topas con tiendas, accesorios para celulares y de todo lo 
que puedes imaginar, el balcón ya hecho lugar público y lo 
único que sigue vivo es el buen humor del personal guía con
sus tipos de besos, lastimosamente se perdió el encanto",Callejón del Beso,Male,-1,México,2018,0
79,"""Nos une la naturaleza y tranquilidad""","""Que està arbolada e invita al descanso sobretodo a nosotros que venimos de ciudades con tanto movimiento,como Pàchuca, a pesar de que es tranquila ha ido creciendo desde hace 13 años a grandes pasos y ya se empieza a estrañar la tranquilada que aquì se experimenta.""",Jardín de la Unión,Female,60,México,24/03/2012,0
80,"""Para visitar solos o en conjunto""","""El callejón del beso esta dentro de las actividades de las ""callejoneadas"" si se visita con todo un grupo el ""momento"" romántico creo que no se da tan bien pero depende de como imaginen la experiencia. Por favor escriban una nota de amor en vez de pintar la pared del callejón o dañarla.""",Callejón del Beso,Female,29,México,11/01/2015,0
81,"""Afuera apesta a orina""","""Nuevamente, afuera apesta a orina!!! Sería bueno que por lo menos echaran cloro o vinagre una vez a la semana o algo así porque es un olor muy muy penetrante, las dos veces que he ido a sido lo mismo.""",Mercado Hidalgo,Male,36,México,03/12/2016,0
82,Cansado pero interesante,"Nuestra visita al museo fue algo interesante, aunque creo que el lugar es algo angosto deberian de colocar la exposicion de tal forma que pueda verse sin que la demas gente te presione para poder abansa",Museo de las Momias,Male,-1,México,2019,0
83,Museo de las momias,"Realmente asistimos porque era una parada del tour que tomamos, es un tour que te ofrecen en todos lados por 150 por persona. Y esa fue nuestra primera parada. La entrada por persona al museo es de $85.00 pesos por persona , si llevan Credencial de estudiante baja a $50.00 pesos . Pero realmente considero es alto el precio ya que los guías del tour te bajan ahí y te dicen tienes 20 minutos para recorrerlo y nos vemos en la camioneta en 20 minutos para seguir el recorrido a los demás puntos sino cierran . Así que en nuestro caso eramos 4 pagamos 2 boletos de 85.00 y 2 boletos de 50 pesos por esos 20 minutos de visita. Y cómo hay gente vas formado avanzando, lo cual te presiona porque debes salir rápido para que no te deje la camioneta y no puedes ver bien la información. De igual manera no me pareció que mucha gente, se ríe de las momias, de cómo están vestidas , o comentarios de su cabello, que si estaban gordas, etc . A final de cuentas se debe contemplar que no son cosas, son personas que vivieron, Falta respeto!
Ya conocí el lugar por ser emblemático de Guanajuato , pero no regresaría.",Museo de las Momias,N/I,-1,México,2019,0
84,"""Fuimos en una época con mucho movimiento""","""Pero aún así deberían cuidar mas la basura que se genera, no dieron ganas de quedarse mucho tiempo ahí, hay mucho guía de turistas que te aborda vendiendo tours, pero poca gente de turismo que realmente te ayude con dudas de comida o lugares.""",Jardín de la Unión,Female,21,México,27/12/2017,0
85,"""Nada especial""","""El lugar es un poco sombrío, los guías no son muy expertos, el recorrido es muy corto y nada emocionante, lo visité antes y era más ilustrativo.""",Museo de las Momias,Female,28,México,13/01/2016,0
86,"""¡No me gustó!""","""Desde la compra de los tickets no me latió, pedí 2 entradas de niños y 2 entradas de adulto y me las dieron todas de adulto al percatarme le comenté a la señorita y su respuesta fue pues véndalos en la fila y pague los de niños, por supuesto que no iba a estar vendiendo boletos... ¡Mal por la actitud con los turistas! El museo realmente está feo y descuidado y ya me habían dicho que no lo visitara.""",Museo de las Momias,Male,47,México,17/08/2017,0
87,"""Nos quedamos con las ganas""","""Llegamos como cinco minutos antes de las 5pm que es la hora en que cierran y nos dijo el guardia que ya no se podía entrar , le insistimos mucho ya que no teníamos otro día para visitarlo, le preguntó a otra persona y dijeron NO, en fin, les recomiendo llegar máximo a las cuatro.""",Alhóndiga,Female,48,México,05/09/2016,0
88,"""Guanajuato""","""La ciudad de Guanajuato es maravillosa, tiene excelentes hoteles y muy buen servicio, pero es una lata que en todas las atraciónes piden propina a la entrada a la salida en fin.....a la atración mas insignificante cobran entrada luego el guía dice no tener sueldo y pide propina.""",Museo de las Momias,Male,46,México,11/10/2013,0
89,"""Porfiriano""","""El edificio es impresionante, no parece un Mercado. Ofrece comida económica y artesanías a buenos precios. Los dulces son económicos y es famoso por sus tortas de carnitas.""",Mercado Hidalgo,Male,36,México,28/10/2017,0
90,"""Museo interesante""","""Un museo bastante característico de esta ciudad, sin embargo, demasiado concurrido y no se puede apreciar buen debido a lo mismo ya que dejan entrar a mucha gente al mismo tiempo y si te toca que alguien esté dando la explicación no puedes escuchar ni acercarte por la cantidad de gente.""",Museo de las Momias,Male,55,México,10/08/2016,0
91,"""Mixed feelings""","""I went there early in the morning, so there were just a few stand open. A lot of local and mexican food, its a market, so theres a lot of things going on. On the second floor theres a lot o crafts and souvenirs. Worth a visit.""",Mercado Hidalgo,Male,31,Costa Rica,05/10/2013,0
92,Para saber de la infancia del afamado muralista,"Se trata de la casa paterna de Diego Rivera, adaptada como museo. Da una idea de la vida de Diego en la infancia. En realidad hay más elementos de arte de otros artistas que del mismo Diego.",Casa de Diego Rivera,Male,-1,Colombia,2016,0
